rank,anum,verdict,engine,file
5428,A302318,PROOF,transfer-matrix,papers/05001-05500/05428-PROOF.pdf
5429,A302810,PROOF,transfer-matrix,papers/05001-05500/05429-PROOF.pdf
5430,A317811,PROOF,transfer-matrix,papers/05001-05500/05430-PROOF.pdf
5431,A207342,PROOF,transfer-matrix,papers/05001-05500/05431-PROOF.pdf
5432,A240645,PROOF,neighbour-condition,papers/05001-05500/05432-PROOF.pdf
5433,A140915,PROOF,planepartition-box,papers/05001-05500/05433-PROOF.pdf
5434,A240890,PROOF,neighbour-condition,papers/05001-05500/05434-PROOF.pdf
5435,A183831,PROOF,subblock-condition,papers/05001-05500/05435-PROOF.pdf
5436,A251977,PROOF,subblock-line-sum,papers/05001-05500/05436-PROOF.pdf
5437,A252047,PROOF,subblock-line-sum,papers/05001-05500/05437-PROOF.pdf
5438,A258543,PROOF,subblock-line-sum,papers/05001-05500/05438-PROOF.pdf
5439,A252099,PROOF,subblock-3x3,papers/05001-05500/05439-PROOF.pdf
5440,A254264,PROOF,monotone-subblock,papers/05001-05500/05440-PROOF.pdf
5441,A256768,PROOF,subblock-line-sum,papers/05001-05500/05441-PROOF.pdf
5442,A301969,PROOF,transfer-matrix,papers/05001-05500/05442-PROOF.pdf
5443,A196743,PROOF,transfer-matrix,papers/05001-05500/05443-PROOF.pdf
5444,A256767,PROOF,subblock-line-sum,papers/05001-05500/05444-PROOF.pdf
5445,A258541,PROOF,subblock-line-sum,papers/05001-05500/05445-PROOF.pdf
5446,A189698,PROOF,transfer-matrix,papers/05001-05500/05446-PROOF.pdf
5447,A303453,PROOF,transfer-matrix,papers/05001-05500/05447-PROOF.pdf
5448,A257420,PROOF,monotone-subblock,papers/05001-05500/05448-PROOF.pdf
5449,A254169,PROOF,monotone-subblock,papers/05001-05500/05449-PROOF.pdf
5450,A254451,PROOF,monotone-subblock,papers/05001-05500/05450-PROOF.pdf
5451,A254916,PROOF,monotone-subblock,papers/05001-05500/05451-PROOF.pdf
5452,A258531,PROOF,monotone-subblock,papers/05001-05500/05452-PROOF.pdf
5453,A207267,PROOF,transfer-matrix,papers/05001-05500/05453-PROOF.pdf
5454,A297098,PROOF,king-move,papers/05001-05500/05454-PROOF.pdf
5455,A184684,PROOF,matrix-subblock,papers/05001-05500/05455-PROOF.pdf
5456,A207898,PROOF,transfer-matrix,papers/05001-05500/05456-PROOF.pdf
5457,A297862,PROOF,transfer-matrix,papers/05001-05500/05457-PROOF.pdf
5458,A298236,PROOF,transfer-matrix,papers/05001-05500/05458-PROOF.pdf
5459,A300423,PROOF,transfer-matrix,papers/05001-05500/05459-PROOF.pdf
5460,A300685,PROOF,transfer-matrix,papers/05001-05500/05460-PROOF.pdf
5461,A303521,PROOF,transfer-matrix,papers/05001-05500/05461-PROOF.pdf
5462,A304415,PROOF,transfer-matrix,papers/05001-05500/05462-PROOF.pdf
5463,A207116,PROOF,transfer-matrix,papers/05001-05500/05463-PROOF.pdf
5464,A207892,PROOF,transfer-matrix,papers/05001-05500/05464-PROOF.pdf
5465,A237892,PROOF,transfer-matrix,papers/05001-05500/05465-PROOF.pdf
5466,A252028,PROOF,subblock-3x3,papers/05001-05500/05466-PROOF.pdf
5467,A206323,PROOF,transfer-matrix,papers/05001-05500/05467-PROOF.pdf
5468,A253845,PROOF,monotone-subblock,papers/05001-05500/05468-PROOF.pdf
5469,A253932,PROOF,monotone-subblock,papers/05001-05500/05469-PROOF.pdf
5470,A204403,PROOF,subblock-3x3,papers/05001-05500/05470-PROOF.pdf
5471,A204496,PROOF,subblock-3x3,papers/05001-05500/05471-PROOF.pdf
5472,A303319,PROOF,transfer-matrix,papers/05001-05500/05472-PROOF.pdf
5473,A305039,PROOF,transfer-matrix,papers/05001-05500/05473-PROOF.pdf
5474,A316692,PROOF,transfer-matrix,papers/05001-05500/05474-PROOF.pdf
5475,A237856,PROOF,neighbour-set,papers/05001-05500/05475-PROOF.pdf
5476,A250704,PROOF,monotone-statistic,papers/05001-05500/05476-PROOF.pdf
5477,A252466,PROOF,subblock-3x3,papers/05001-05500/05477-PROOF.pdf
5478,A255097,PROOF,subblock-3x3,papers/05001-05500/05478-PROOF.pdf
5479,A304773,PROOF,transfer-matrix,papers/05001-05500/05479-PROOF.pdf
5480,A197176,PROOF,transfer-matrix,papers/05001-05500/05480-PROOF.pdf
5481,A237906,PROOF,subblock-difference,papers/05001-05500/05481-PROOF.pdf
5482,A197557,PROOF,transfer-matrix,papers/05001-05500/05482-PROOF.pdf
5483,A196970,PROOF,transfer-matrix,papers/05001-05500/05483-PROOF.pdf
5484,A259000,PROOF,monotone-subblock,papers/05001-05500/05484-PROOF.pdf
5485,A253842,PROOF,monotone-subblock,papers/05001-05500/05485-PROOF.pdf
5486,A253929,PROOF,monotone-subblock,papers/05001-05500/05486-PROOF.pdf
5487,A202775,PROOF,pattern-avoidance,papers/05001-05500/05487-PROOF.pdf
5488,A231379,PROOF,transfer-matrix,papers/05001-05500/05488-PROOF.pdf
5489,A255787,PROOF,subblock-3x3,papers/05001-05500/05489-PROOF.pdf
5490,A302738,PROOF,transfer-matrix,papers/05001-05500/05490-PROOF.pdf
5491,A234885,PROOF,transfer-matrix,papers/05001-05500/05491-PROOF.pdf
5492,A207085,PROOF,transfer-matrix,papers/05001-05500/05492-PROOF.pdf
5493,A283096,PROOF,neighbour-set,papers/05001-05500/05493-PROOF.pdf
5494,A283729,PROOF,neighbour-set,papers/05001-05500/05494-PROOF.pdf
5495,A202976,PROOF,neighbour-set,papers/05001-05500/05495-PROOF.pdf
5496,A206782,PROOF,transfer-matrix,papers/05001-05500/05496-PROOF.pdf
5497,A235170,PROOF,transfer-matrix,papers/05001-05500/05497-PROOF.pdf
5498,A236296,PROOF,subblock-coloring,papers/05001-05500/05498-PROOF.pdf
5499,A237946,PROOF,subblock-difference,papers/05001-05500/05499-PROOF.pdf
5500,A296948,PROOF,transfer-matrix,papers/05001-05500/05500-PROOF.pdf
5501,A297974,PROOF,transfer-matrix,papers/05501-06000/05501-PROOF.pdf
